player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
John Gibson,G,2300000,2014-15,0.0348,71400000,52800000,575000,ANA,23.0,58.0,55.44,-2.6,-0.118,0.952,0.955,-0.002,0.914,2.64,2.52,-0.12,-0.43,1319.0,0.038,0.038,0.0,183.0,151.21,31.79,0.05,616.0,1162.0,0.1942,0.5525,0.5437,0.0087,0.982,0.972,0.01,0.839,0.88,-0.041,0.612,0.674,-0.062,3.0
Jonas Gustavsson,G,700000,2014-15,0.0348,71400000,52800000,575000,DET,7.0,15.0,14.54,-0.5,-0.085,0.949,0.951,-0.002,0.911,2.56,2.48,-0.08,-0.08,351.0,0.035,0.041,-0.005,33.0,38.65,-5.65,-0.03,153.0,282.0,0.1727,0.5657,0.5629,0.0028000000000000004,0.977,0.971,0.006,0.857,0.878,-0.02,0.636,0.679,-0.043,12.0
Cam Talbot,G,4166666,2014-15,0.0348,71400000,52800000,575000,NYR,36.0,77.0,88.63,11.6,0.332,0.961,0.955,0.006,0.926,2.21,2.54,0.33,1.94,2094.0,0.031,0.039,-0.008,293.0,244.24,48.76,0.05,961.0,1879.0,0.19510000000000002,0.5307,0.5457,-0.015,0.972,0.973,-0.0,0.924,0.879,0.046,0.675,0.683,-0.007,1.0
Laurent Brossoit,G,750000,2014-15,0.0348,71400000,52800000,575000,EDM,1.0,2.0,6.42,4.4,4.43,0.979,0.932,0.047,0.961,2.01,6.46,4.45,0.74,59.0,0.12,0.042,0.078,9.0,12.39,-3.39,-0.07,49.0,92.0,0.2034,0.5426,0.5498,-0.0072,1.0,0.973,0.027,0.917,0.872,0.045,1.0,0.74,0.26,28.0
Ray Emery,G,575000,2014-15,0.0348,71400000,52800000,575000,PHI,31.0,80.0,71.29,-8.7,-0.333,0.945,0.951,-0.006,0.894,3.06,2.73,-0.33,-1.45,1569.0,0.051,0.038,0.013,163.0,179.76,-16.76,-0.02,678.0,1380.0,0.2108,0.5192,0.5337,-0.014499999999999999,0.969,0.971,-0.002,0.868,0.878,-0.01,0.585,0.666,-0.082,24.0
Antti Raanta,G,1000000,2014-15,0.0348,71400000,52800000,575000,CHI,14.0,25.0,29.86,4.9,0.371,0.964,0.957,0.007,0.936,1.89,2.26,0.37,0.81,792.0,0.026,0.04,-0.014,98.0,83.95,14.05,0.04,364.0,663.0,0.1991,0.5654,0.5439,0.0216,0.977,0.972,0.006,0.938,0.88,0.058,0.545,0.683,-0.138,7.0
Calvin Pickard,G,1000000,2015-16,0.022400000000000003,73000000,54000000,575000,COL,20.0,42.0,47.81,5.8,0.355,0.96,0.954,0.006,0.922,2.57,2.93,0.36,0.97,980.0,0.037,0.04,-0.003,122.0,118.33,3.67,0.01,497.0,997.0,0.2182,0.5188,0.5143,0.0044,0.976,0.97,0.007,0.866,0.875,-0.009,0.816,0.716,0.099,21.0
Darcy Kuemper,G,1550000,2015-16,0.022400000000000003,73000000,54000000,575000,MIN,21.0,43.0,43.07,0.1,0.006,0.957,0.957,0.0,0.915,2.43,2.43,0.0,0.01,1063.0,0.035,0.038,-0.003,138.0,118.78,19.22,0.04,464.0,950.0,0.2107,0.5106,0.5209,-0.0103,0.967,0.972,-0.004,0.872,0.878,-0.005,0.811,0.724,0.087,11.0
Anders Nilsson,G,1000000,2015-16,0.022400000000000003,73000000,54000000,575000,STL,29.0,78.0,72.04,-6.0,-0.24,0.945,0.949,-0.004,0.901,3.12,2.88,-0.24,-0.99,1500.0,0.043,0.04,0.003,170.0,179.59,-9.59,-0.01,711.0,1341.0,0.1859,0.556,0.5523,0.0037,0.966,0.969,-0.004,0.849,0.877,-0.028,0.721,0.669,0.053,4.0
Anton Khudobin,G,1200000,2015-16,0.022400000000000003,73000000,54000000,575000,ANA,9.0,16.0,18.21,2.2,0.37,0.953,0.946,0.006,0.909,2.69,3.07,0.37,0.37,356.0,0.046,0.04,0.006,35.0,39.87,-4.87,-0.03,159.0,324.0,0.20929999999999999,0.5146999999999999,0.5254,-0.010700000000000001,0.966,0.971,-0.005,0.873,0.884,-0.012,0.842,0.648,0.194,3.0
Jake Allen,G,4350000,2015-16,0.022400000000000003,73000000,54000000,575000,STL,47.0,101.0,104.62,3.6,0.084,0.956,0.954,0.002,0.92,2.35,2.43,0.08,0.6,2583.0,0.04,0.039,0.001,337.0,282.23,54.77,0.04,1160.0,2169.0,0.2032,0.5555,0.5416,0.0139,0.972,0.972,0.0,0.878,0.88,-0.001,0.71,0.673,0.037,4.0
Carter Hutton,G,1125000,2015-16,0.022400000000000003,73000000,54000000,575000,NSH,17.0,38.0,37.77,-0.2,-0.012,0.959,0.959,-0.0,0.918,2.33,2.31,-0.01,-0.04,978.0,0.039,0.037,0.002,119.0,108.56,10.44,0.02,426.0,878.0,0.21710000000000002,0.5065999999999999,0.5153,-0.0088,0.965,0.971,-0.006,0.869,0.875,-0.006,0.846,0.707,0.139,6.0
Jeff Zatkoff,G,900000,2015-16,0.022400000000000003,73000000,54000000,575000,PIT,14.0,34.0,31.02,-3.0,-0.246,0.949,0.954,-0.004,0.917,2.79,2.54,-0.24,-0.5,732.0,0.036,0.039,-0.003,96.0,91.72,4.28,0.01,374.0,637.0,0.17059999999999997,0.608,0.5738,0.0342,0.979,0.972,0.007,0.838,0.879,-0.042,0.538,0.633,-0.095,15.0
Chad Johnson,G,1700000,2015-16,0.022400000000000003,73000000,54000000,575000,BUF,45.0,102.0,112.51,10.5,0.243,0.957,0.953,0.004,0.92,2.36,2.61,0.24,1.75,2591.0,0.034,0.04,-0.006,328.0,293.0,35.0,0.03,1169.0,2269.0,0.19329999999999997,0.5361,0.5445,-0.0084,0.982,0.97,0.011,0.875,0.879,-0.003,0.622,0.664,-0.041,30.0
Jonas Gustavsson,G,800000,2015-16,0.022400000000000003,73000000,54000000,575000,BOS,24.0,57.0,56.46,-0.5,-0.024,0.95,0.95,-0.0,0.909,2.72,2.69,-0.03,-0.09,1258.0,0.033,0.039,-0.006,132.0,141.4,-9.4,-0.02,566.0,1081.0,0.1935,0.5475,0.5466,0.0008,0.969,0.972,-0.003,0.9,0.878,0.022,0.604,0.648,-0.044,17.0
Al Montoya,G,950000,2015-16,0.022400000000000003,73000000,54000000,575000,FLA,25.0,49.0,53.52,4.5,0.2,0.957,0.953,0.004,0.919,2.18,2.38,0.2,0.75,1351.0,0.04,0.039,0.001,168.0,143.69,24.31,0.04,559.0,1080.0,0.1889,0.5385,0.5472,-0.0087,0.979,0.972,0.007,0.841,0.877,-0.036,0.787,0.673,0.114,20.0
Andrei Vasilevskiy,G,3500000,2015-16,0.022400000000000003,73000000,54000000,575000,TBL,24.0,58.0,51.48,-6.5,-0.31,0.952,0.957,-0.005,0.91,2.76,2.45,-0.31,-1.09,1258.0,0.028,0.039,-0.011,167.0,147.78,19.22,0.03,588.0,1149.0,0.20170000000000002,0.5352,0.527,0.008199999999999999,0.962,0.97,-0.009,0.867,0.882,-0.014,0.727,0.664,0.063,5.0
James Reimer,G,3400000,2015-16,0.022400000000000003,73000000,54000000,575000,SJS,40.0,88.0,99.11,11.1,0.291,0.958,0.952,0.005,0.922,2.31,2.6,0.29,1.85,2290.0,0.028,0.038,-0.01,290.0,260.95,29.05,0.03,1040.0,1990.0,0.1949,0.5428000000000001,0.5436,-0.0007000000000000001,0.974,0.972,0.003,0.894,0.882,0.011,0.696,0.641,0.055,23.0
Jhonas Enroth,G,750000,2015-16,0.022400000000000003,73000000,54000000,575000,LAK,16.0,31.0,37.23,6.2,0.434,0.958,0.949,0.008,0.922,2.17,2.61,0.44,1.04,856.0,0.038,0.039,-0.001,101.0,92.59,8.41,0.02,368.0,702.0,0.2007,0.5443,0.541,0.0033,0.973,0.971,0.001,0.917,0.878,0.039,0.711,0.671,0.039,18.0
Matt Murray,G,3750000,2015-16,0.022400000000000003,73000000,54000000,575000,PIT,13.0,25.0,30.36,5.4,0.433,0.959,0.95,0.009,0.93,2.0,2.43,0.43,0.89,748.0,0.037,0.039,-0.002,92.0,73.58,18.42,0.05,330.0,588.0,0.1966,0.5791,0.5425,0.0366,0.974,0.971,0.003,0.886,0.877,0.009,0.786,0.661,0.125,15.0
Thomas Greiss,G,3333333,2015-16,0.022400000000000003,73000000,54000000,575000,NYI,41.0,90.0,102.18,12.2,0.32,0.96,0.955,0.005,0.925,2.36,2.68,0.32,2.03,2287.0,0.033,0.038,-0.005,249.0,258.99,-9.99,-0.01,1107.0,2157.0,0.21539999999999998,0.5327000000000001,0.5182,0.014499999999999999,0.974,0.971,0.003,0.921,0.876,0.044,0.588,0.66,-0.072,9.0
Al Montoya,G,1062500,2015-16,0.022400000000000003,73000000,54000000,575000,FLA,25.0,49.0,53.52,4.5,0.2,0.957,0.953,0.004,0.919,2.18,2.38,0.2,0.75,1351.0,0.04,0.039,0.001,168.0,143.69,24.31,0.04,559.0,1080.0,0.1889,0.5385,0.5472,-0.0087,0.979,0.972,0.007,0.841,0.877,-0.036,0.787,0.673,0.114,20.0
Curtis McElhinney,G,850000,2016-17,0.0274,75000000,55400000,650000,TOR,21.0,51.0,58.93,7.9,0.418,0.954,0.947,0.007,0.917,2.7,3.12,0.42,1.32,1134.0,0.047,0.039,0.008,115.0,145.35,-30.35,-0.05,565.0,1055.0,0.1844,0.557,0.5650999999999999,-0.008199999999999999,0.965,0.972,-0.007,0.904,0.881,0.023,0.794,0.657,0.137,30.0
Keith Kinkaid,G,1250000,2016-17,0.0274,75000000,55400000,650000,NJD,26.0,65.0,72.37,7.4,0.301,0.953,0.948,0.005,0.917,2.64,2.94,0.3,1.23,1476.0,0.04,0.038,0.001,201.0,176.51,24.49,0.03,714.0,1330.0,0.1974,0.5584,0.5443,0.0141,0.978,0.97,0.008,0.883,0.879,0.004,0.647,0.64,0.007,20.0
Mike Condon,G,2400000,2016-17,0.0274,75000000,55400000,650000,OTT,41.0,96.0,97.93,1.9,0.049,0.957,0.956,0.001,0.914,2.48,2.53,0.05,0.32,2324.0,0.037,0.037,0.0,266.0,268.31,-2.31,0.0,1026.0,2138.0,0.2134,0.5022,0.5169,-0.0147,0.968,0.971,-0.003,0.88,0.881,-0.002,0.756,0.684,0.072,19.0
Anton Forsberg,G,750000,2016-17,0.0274,75000000,55400000,650000,CBJ,1.0,4.0,2.15,-1.9,-1.946,0.92,0.957,-0.037,0.852,4.1,2.2,-1.89,-0.31,58.0,0.043,0.037,0.007,9.0,6.63,2.37,0.09,23.0,46.0,0.18030000000000002,0.54,0.5488000000000001,-0.0088,1.0,0.969,0.031,0.5,0.903,-0.403,0.5,0.69,-0.19,27.0
Peter Budaj,G,1025000,2016-17,0.0274,75000000,55400000,650000,TBL,60.0,120.0,130.4,10.4,0.189,0.957,0.953,0.004,0.915,2.18,2.36,0.19,1.73,3308.0,0.033,0.038,-0.004,306.0,335.18,-29.18,-0.02,1294.0,2643.0,0.20989999999999998,0.5118,0.5318999999999999,-0.0202,0.971,0.97,0.001,0.899,0.878,0.021,0.67,0.667,0.003,12.0
Linus Ullmark,G,750000,2016-17,0.0274,75000000,55400000,650000,BUF,1.0,3.0,3.78,0.8,0.817,0.945,0.931,0.014,0.917,3.06,3.86,0.8,0.13,58.0,0.038,0.047,-0.008,18.0,7.02,10.98,0.31,33.0,52.0,0.1791,0.6545000000000001,0.5661999999999999,0.08839999999999999,0.96,0.961,-0.001,0.929,0.873,0.056,0.75,0.745,0.005,23.0
Joonas Korpisalo,G,900000,2015-16,0.022400000000000003,73000000,54000000,575000,CBJ,31.0,78.0,84.42,6.4,0.213,0.958,0.954,0.003,0.92,2.6,2.81,0.21,1.07,1803.0,0.037,0.036,0.001,224.0,227.85,-3.85,0.0,891.0,1774.0,0.2126,0.5232,0.5241,-0.0009,0.974,0.972,0.002,0.886,0.882,0.005,0.712,0.672,0.04,22.0
Robin Lehner,G,4000000,2016-17,0.0274,75000000,55400000,650000,BUF,59.0,152.0,152.51,0.5,0.009,0.954,0.954,0.0,0.921,2.68,2.69,0.01,0.08,3405.0,0.039,0.04,-0.001,378.0,424.2,-46.2,-0.02,1760.0,3169.0,0.1852,0.5757,0.551,0.024700000000000003,0.978,0.972,0.006,0.871,0.881,-0.01,0.602,0.66,-0.058,23.0
Connor Hellebuyck,G,2250000,2016-17,0.0274,75000000,55400000,650000,WPG,55.0,144.0,136.35,-7.7,-0.153,0.949,0.952,-0.003,0.908,2.87,2.71,-0.15,-1.28,3013.0,0.042,0.039,0.003,339.0,350.03,-11.03,-0.01,1423.0,2706.0,0.20170000000000002,0.5498,0.5346,0.0152,0.965,0.97,-0.005,0.868,0.878,-0.01,0.68,0.643,0.037,25.0
Philipp Grubauer,G,1500000,2016-17,0.0274,75000000,55400000,650000,WSH,24.0,43.0,54.51,11.5,0.546,0.961,0.951,0.01,0.926,2.04,2.59,0.55,1.92,1264.0,0.047,0.04,0.007,152.0,139.79,12.21,0.02,542.0,1065.0,0.20120000000000002,0.528,0.5395,-0.0115,0.983,0.972,0.012,0.918,0.882,0.036,0.64,0.681,-0.041,1.0
Reto Berra,G,700000,2016-17,0.0274,75000000,55400000,650000,FLA,7.0,18.0,14.83,-3.2,-0.613,0.932,0.944,-0.012,0.876,3.45,2.84,-0.61,-0.53,313.0,0.073,0.043,0.031,32.0,34.62,-2.62,-0.02,127.0,245.0,0.16510000000000002,0.5513,0.5697,-0.0184,0.96,0.971,-0.011,0.844,0.88,-0.035,0.688,0.682,0.006,6.0
Carey Price,G,10500000,2016-17,0.0274,75000000,55400000,650000,MTL,62.0,138.0,156.05,18.1,0.293,0.959,0.954,0.005,0.923,2.23,2.52,0.29,3.01,3708.0,0.035,0.037,-0.002,475.0,402.05,72.95,0.04,1656.0,3240.0,0.2231,0.5311,0.5154,0.015700000000000002,0.97,0.972,-0.002,0.891,0.874,0.016,0.757,0.662,0.095,22.0
Martin Jones,G,5750000,2016-17,0.0274,75000000,55400000,650000,SJS,64.0,150.0,159.08,9.1,0.146,0.957,0.954,0.003,0.911,2.41,2.55,0.15,1.51,3739.0,0.037,0.037,0.0,380.0,397.02,-17.02,-0.01,1542.0,3305.0,0.2262,0.48969999999999997,0.5094,-0.0197,0.97,0.971,-0.001,0.895,0.877,0.018,0.688,0.67,0.018,11.0
Darcy Kuemper,G,650000,2016-17,0.0274,75000000,55400000,650000,MIN,18.0,55.0,44.5,-10.5,-0.598,0.947,0.957,-0.01,0.902,3.13,2.54,-0.6,-1.75,1053.0,0.04,0.037,0.003,134.0,132.58,1.42,0.0,507.0,991.0,0.196,0.5373,0.5307999999999999,0.006500000000000001,0.957,0.973,-0.016,0.863,0.879,-0.016,0.735,0.697,0.038,17.0
Steve Mason,G,4100000,2016-17,0.0274,75000000,55400000,650000,PHI,58.0,143.0,142.89,-0.1,-0.002,0.953,0.953,-0.0,0.908,2.66,2.66,-0.0,-0.02,3224.0,0.042,0.036,0.005,366.0,361.07,4.93,0.0,1413.0,2878.0,0.2208,0.5151,0.5183,-0.0033,0.979,0.971,0.008,0.866,0.876,-0.01,0.617,0.683,-0.066,14.0
Ryan Miller,G,2000000,2016-17,0.0274,75000000,55400000,650000,VAN,54.0,150.0,146.94,-3.1,-0.058,0.95,0.951,-0.001,0.914,2.8,2.74,-0.06,-0.51,3211.0,0.034,0.041,-0.007,466.0,375.36,90.64,0.05,1587.0,2848.0,0.1855,0.5794,0.5537,0.025699999999999997,0.972,0.972,0.001,0.876,0.876,0.0,0.623,0.66,-0.037,28.0
Antti Niemi,G,700000,2016-17,0.0274,75000000,55400000,650000,DAL,37.0,95.0,87.62,-7.4,-0.257,0.945,0.949,-0.004,0.892,3.3,3.04,-0.26,-1.23,1728.0,0.054,0.038,0.017,184.0,210.97,-26.97,-0.03,786.0,1637.0,0.2152,0.5086999999999999,0.5235,-0.0148,0.967,0.972,-0.005,0.863,0.878,-0.015,0.667,0.658,0.008,2.0
Chad Johnson,G,2500000,2016-17,0.0274,75000000,55400000,650000,CGY,36.0,87.0,94.7,7.7,0.229,0.953,0.949,0.004,0.91,2.59,2.82,0.23,1.28,2013.0,0.044,0.039,0.004,254.0,224.21,29.79,0.03,882.0,1763.0,0.1984,0.5238,0.5379999999999999,-0.014199999999999999,0.971,0.971,0.0,0.894,0.879,0.015,0.689,0.651,0.038,26.0
Jonathan Bernier,G,2750000,2016-17,0.0274,75000000,55400000,650000,ANA,39.0,83.0,81.91,-1.1,-0.033,0.958,0.959,-0.001,0.915,2.5,2.47,-0.03,-0.18,1993.0,0.035,0.039,-0.004,268.0,245.89,22.11,0.02,899.0,1902.0,0.1999,0.4947,0.5288,-0.0341,0.977,0.972,0.005,0.865,0.88,-0.015,0.636,0.685,-0.049,7.0
Brian Elliott,G,2750000,2016-17,0.0274,75000000,55400000,650000,CGY,49.0,121.0,123.04,2.0,0.042,0.951,0.95,0.001,0.91,2.57,2.61,0.04,0.34,2824.0,0.039,0.039,0.0,391.0,304.99,86.01,0.06,1219.0,2361.0,0.2027,0.5399,0.5373,0.0026,0.978,0.972,0.006,0.837,0.873,-0.036,0.69,0.638,0.052,26.0
Ondrej Pavelec,G,1300000,2016-17,0.0274,75000000,55400000,650000,WPG,8.0,26.0,20.62,-5.4,-0.737,0.935,0.949,-0.013,0.888,3.55,2.82,-0.73,-0.9,439.0,0.059,0.039,0.02,58.0,49.19,8.81,0.04,207.0,375.0,0.2091,0.581,0.5388000000000001,0.042199999999999994,0.963,0.97,-0.007,0.887,0.876,0.011,0.353,0.621,-0.268,25.0
Anders Nilsson,G,2500000,2016-17,0.0274,75000000,55400000,650000,BUF,26.0,66.0,77.75,11.8,0.477,0.957,0.95,0.008,0.923,2.67,3.14,0.47,1.96,1484.0,0.048,0.041,0.007,219.0,195.95,23.05,0.03,792.0,1479.0,0.1843,0.5553,0.5523,0.003,0.976,0.971,0.006,0.914,0.879,0.035,0.648,0.67,-0.022,23.0
Craig Anderson,G,4750000,2016-17,0.0274,75000000,55400000,650000,OTT,40.0,92.0,102.59,10.6,0.263,0.962,0.958,0.004,0.926,2.28,2.54,0.26,1.77,2421.0,0.033,0.036,-0.003,283.0,291.91,-8.91,-0.01,1155.0,2343.0,0.2223,0.5121,0.5086999999999999,0.0034000000000000002,0.972,0.972,0.001,0.92,0.881,0.039,0.651,0.68,-0.029,19.0
Aaron Dell,G,1900000,2016-17,0.0274,75000000,55400000,650000,SJS,20.0,37.0,49.84,12.8,0.692,0.966,0.954,0.012,0.931,2.0,2.69,0.69,2.14,1110.0,0.038,0.036,0.002,124.0,126.11,-2.11,0.0,496.0,1040.0,0.228,0.4949,0.5023,-0.0074,0.987,0.972,0.016,0.901,0.879,0.023,0.659,0.649,0.01,11.0
Darcy Kuemper,G,1850000,2016-17,0.0274,75000000,55400000,650000,MIN,18.0,55.0,44.5,-10.5,-0.598,0.947,0.957,-0.01,0.902,3.13,2.54,-0.6,-1.75,1053.0,0.04,0.037,0.003,134.0,132.58,1.42,0.0,507.0,991.0,0.196,0.5373,0.5307999999999999,0.006500000000000001,0.957,0.973,-0.016,0.863,0.879,-0.016,0.735,0.697,0.038,17.0
Charlie Lindgren,G,750000,2016-17,0.0274,75000000,55400000,650000,MTL,2.0,3.0,4.75,1.8,0.887,0.968,0.949,0.019,0.949,1.48,2.34,0.86,0.29,121.0,0.0,0.041,-0.041,20.0,11.56,8.44,0.14,56.0,90.0,0.1226,0.6344,0.6051,0.0294,0.967,0.97,-0.003,0.941,0.875,0.066,1.0,0.737,0.263,22.0
Antti Raanta,G,4250000,2016-17,0.0274,75000000,55400000,650000,NYR,30.0,61.0,69.48,8.5,0.315,0.958,0.953,0.006,0.922,2.26,2.58,0.31,1.41,1617.0,0.033,0.037,-0.004,179.0,181.17,-2.17,0.0,721.0,1403.0,0.2065,0.5342,0.5322,0.0019,0.976,0.971,0.005,0.877,0.879,-0.002,0.737,0.654,0.083,9.0
Antti Niemi,G,950000,2016-17,0.0274,75000000,55400000,650000,DAL,37.0,95.0,87.62,-7.4,-0.257,0.945,0.949,-0.004,0.892,3.3,3.04,-0.26,-1.23,1728.0,0.054,0.038,0.017,184.0,210.97,-26.97,-0.03,786.0,1637.0,0.2152,0.5086999999999999,0.5235,-0.0148,0.967,0.972,-0.005,0.863,0.878,-0.015,0.667,0.658,0.008,2.0
Philipp Grubauer,G,3333333,2017-18,0.06,79500000,58800000,650000,WSH,35.0,73.0,91.52,18.5,0.601,0.96,0.95,0.01,0.923,2.37,2.97,0.6,3.09,1846.0,0.044,0.041,0.002,256.0,224.55,31.45,0.03,880.0,1761.0,0.1938,0.5196000000000001,0.5384,-0.018799999999999997,0.982,0.97,0.012,0.898,0.88,0.018,0.699,0.691,0.008,1.0
Louis Domingue,G,1150000,2017-18,0.06,79500000,58800000,650000,TBL,19.0,61.0,53.4,-7.6,-0.425,0.942,0.949,-0.007,0.894,3.41,2.98,-0.42,-1.27,1073.0,0.044,0.039,0.005,149.0,132.17,16.83,0.03,517.0,989.0,0.2003,0.5505,0.5393,0.011200000000000002,0.956,0.97,-0.014,0.866,0.876,-0.01,0.698,0.661,0.037,16.0
David Rittich,G,800000,2017-18,0.06,79500000,58800000,650000,CGY,21.0,49.0,45.99,-3.0,-0.179,0.949,0.952,-0.003,0.904,2.92,2.74,-0.18,-0.5,1008.0,0.039,0.038,0.001,130.0,114.86,15.14,0.03,463.0,918.0,0.20350000000000001,0.5295000000000001,0.5292,0.0003,0.966,0.97,-0.004,0.863,0.876,-0.013,0.744,0.715,0.029,15.0
Juuse Saros,G,1500000,2017-18,0.06,79500000,58800000,650000,NSH,26.0,61.0,70.48,9.5,0.381,0.959,0.952,0.006,0.925,2.45,2.83,0.38,1.58,1496.0,0.055,0.041,0.014,191.0,181.63,9.37,0.01,749.0,1413.0,0.1989,0.5495,0.5412,0.0083,0.971,0.969,0.002,0.918,0.878,0.04,0.71,0.714,-0.004,17.0
Connor Hellebuyck,G,6166666,2017-18,0.06,79500000,58800000,650000,WPG,67.0,156.0,166.61,10.6,0.16,0.959,0.957,0.003,0.924,2.36,2.52,0.16,1.77,3965.0,0.039,0.037,0.002,523.0,472.52,50.48,0.02,1892.0,3694.0,0.2052,0.5318999999999999,0.5266,0.0053,0.975,0.973,0.001,0.886,0.88,0.005,0.693,0.661,0.032,20.0
Robin Lehner,G,1500000,2017-18,0.06,79500000,58800000,650000,BUF,53.0,143.0,128.94,-14.1,-0.297,0.948,0.953,-0.005,0.908,3.01,2.71,-0.3,-2.34,2852.0,0.046,0.038,0.008,328.0,340.72,-12.72,-0.01,1418.0,2627.0,0.19190000000000002,0.5635,0.5401,0.023399999999999997,0.963,0.972,-0.009,0.873,0.878,-0.005,0.682,0.664,0.018,26.0
Cam Ward,G,3000000,2017-18,0.06,79500000,58800000,650000,CAR,43.0,112.0,99.43,-12.6,-0.307,0.948,0.954,-0.006,0.906,2.73,2.43,-0.31,-2.09,2459.0,0.042,0.038,0.004,265.0,270.76,-5.76,0.0,1075.0,2044.0,0.1955,0.5506,0.5439,0.0066,0.966,0.972,-0.006,0.885,0.879,0.006,0.602,0.686,-0.083,21.0
Laurent Brossoit,G,650000,2017-18,0.06,79500000,58800000,650000,EDM,14.0,40.0,31.8,-8.2,-0.665,0.939,0.952,-0.012,0.884,3.24,2.58,-0.66,-1.37,740.0,0.032,0.035,-0.003,87.0,72.61,14.39,0.04,304.0,621.0,0.22870000000000001,0.5204,0.4939,0.0265,0.949,0.97,-0.021,0.888,0.884,0.003,0.56,0.619,-0.059,7.0
Anton Khudobin,G,2500000,2017-18,0.06,79500000,58800000,650000,BOS,31.0,76.0,77.01,1.0,0.034,0.953,0.953,0.001,0.913,2.56,2.59,0.03,0.17,1780.0,0.036,0.038,-0.002,185.0,195.57,-10.57,-0.01,800.0,1547.0,0.2005,0.5397,0.5331,0.0066,0.975,0.972,0.003,0.874,0.88,-0.006,0.667,0.667,-0.001,13.0
Jonathan Bernier,G,3000000,2017-18,0.06,79500000,58800000,650000,COL,36.0,94.0,82.43,-11.6,-0.359,0.952,0.958,-0.006,0.912,2.91,2.55,-0.36,-1.93,1941.0,0.049,0.038,0.011,284.0,236.97,47.03,0.04,971.0,1855.0,0.20379999999999998,0.5464,0.524,0.022400000000000003,0.969,0.973,-0.004,0.857,0.88,-0.023,0.667,0.691,-0.024,30.0
Carter Hutton,G,2750000,2017-18,0.06,79500000,58800000,650000,STL,32.0,56.0,66.95,11.0,0.41,0.963,0.956,0.007,0.931,2.09,2.5,0.41,1.83,1609.0,0.043,0.037,0.006,189.0,179.54,9.46,0.01,754.0,1470.0,0.2238,0.5307999999999999,0.5132,0.0176,0.981,0.972,0.009,0.882,0.879,0.004,0.727,0.682,0.046,11.0
Michael Hutchinson,G,1300000,2017-18,0.06,79500000,58800000,650000,WPG,3.0,7.0,6.21,-0.8,-0.373,0.951,0.957,-0.005,0.907,3.26,2.89,-0.37,-0.13,128.0,0.044,0.038,0.006,31.0,18.08,12.92,0.17,68.0,137.0,0.21739999999999998,0.5207999999999999,0.5268999999999999,-0.0060999999999999995,0.947,0.974,-0.027,0.913,0.87,0.043,0.8,0.754,0.046,20.0
Chad Johnson,G,1750000,2017-18,0.06,79500000,58800000,650000,BUF,36.0,105.0,86.4,-18.6,-0.629,0.938,0.949,-0.011,0.891,3.55,2.92,-0.63,-3.1,1773.0,0.033,0.039,-0.007,209.0,211.49,-2.49,0.0,858.0,1586.0,0.1795,0.5695,0.5565,0.013000000000000001,0.97,0.971,-0.001,0.84,0.879,-0.039,0.556,0.656,-0.1,26.0
