player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
Pekka Rinne,G,5000000,2017-18,0.06,79500000,58800000,650000,NSH,59.0,134.0,153.95,19.9,0.344,0.959,0.953,0.006,0.927,2.31,2.66,0.34,3.32,3475.0,0.033,0.038,-0.005,492.0,397.79,94.21,0.05,1707.0,3168.0,0.2022,0.5575,0.5359,0.0217,0.973,0.972,0.001,0.902,0.878,0.024,0.698,0.634,0.065,17.0
Alex Stalock,G,785000,2017-18,0.06,79500000,58800000,650000,MIN,28.0,71.0,63.73,-7.3,-0.293,0.954,0.959,-0.005,0.91,2.85,2.56,-0.29,-1.21,1495.0,0.031,0.038,-0.006,193.0,182.2,10.8,0.01,716.0,1470.0,0.2077,0.5107,0.5194,-0.0087,0.97,0.97,-0.0,0.851,0.883,-0.032,0.681,0.695,-0.014,5.0
Casey DeSmith,G,1250000,2017-18,0.06,79500000,58800000,650000,PIT,14.0,28.0,33.22,5.2,0.446,0.958,0.95,0.008,0.921,2.4,2.85,0.45,0.87,700.0,0.047,0.038,0.009,84.0,79.92,4.08,0.01,328.0,637.0,0.20829999999999999,0.5353,0.5311,0.0042,0.986,0.973,0.012,0.901,0.875,0.026,0.556,0.633,-0.077,2.0
Collin Delia,G,1000000,2017-18,0.06,79500000,58800000,650000,CHI,2.0,7.0,4.0,-3.0,-1.698,0.936,0.963,-0.028,0.889,3.96,2.26,-1.7,-0.5,105.0,0.01,0.033,-0.023,11.0,11.6,-0.6,-0.01,56.0,102.0,0.24309999999999998,0.578,0.47259999999999996,0.1054,0.947,0.971,-0.024,0.8,0.871,-0.071,0.5,0.79,-0.29,3.0
Thatcher Demko,G,1050000,2017-18,0.06,79500000,58800000,650000,VAN,1.0,4.0,3.09,-0.9,-0.88,0.937,0.951,-0.014,0.867,3.91,3.02,-0.89,-0.15,61.0,0.017,0.035,-0.018,9.0,6.9,2.1,0.07,26.0,59.0,0.24100000000000002,0.47619999999999996,0.4921,-0.0159,1.0,0.971,0.029,0.889,0.886,0.003,0.0,0.613,-0.613,29.0
Anders Nilsson,G,2600000,2017-18,0.06,79500000,58800000,650000,VAN,27.0,84.0,73.16,-10.8,-0.443,0.944,0.951,-0.007,0.901,3.44,3.0,-0.44,-1.81,1463.0,0.032,0.041,-0.009,186.0,183.19,2.81,0.0,766.0,1404.0,0.1833,0.5711999999999999,0.5526,0.018600000000000002,0.964,0.97,-0.006,0.847,0.881,-0.034,0.742,0.707,0.035,29.0
Laurent Brossoit,G,1225000,2017-18,0.06,79500000,58800000,650000,EDM,14.0,40.0,31.8,-8.2,-0.665,0.939,0.952,-0.012,0.884,3.24,2.58,-0.66,-1.37,740.0,0.032,0.035,-0.003,87.0,72.61,14.39,0.04,304.0,621.0,0.22870000000000001,0.5204,0.4939,0.0265,0.949,0.97,-0.021,0.888,0.884,0.003,0.56,0.619,-0.059,7.0
Michael Hutchinson,G,700000,2018-19,0.0252,81500000,60200000,700000,TOR,9.0,27.0,19.28,-7.7,-0.931,0.94,0.957,-0.017,0.887,3.27,2.33,-0.93,-1.29,496.0,0.043,0.036,0.007,76.0,57.71,18.29,0.08,212.0,422.0,0.1996,0.5323,0.5378000000000001,-0.0055000000000000005,0.958,0.971,-0.012,0.821,0.885,-0.064,0.625,0.681,-0.056,6.0
Brian Elliott,G,2000000,2018-19,0.0252,81500000,60200000,700000,PHI,26.0,69.0,69.82,0.8,0.036,0.95,0.949,0.001,0.907,3.07,3.1,0.04,0.14,1350.0,0.057,0.038,0.019,206.0,167.29,38.71,0.05,671.0,1305.0,0.20850000000000002,0.5386,0.5311,0.0074,0.975,0.971,0.004,0.876,0.878,-0.002,0.63,0.655,-0.025,13.0
Ryan Miller,G,2325000,2018-19,0.0252,81500000,60200000,700000,ANA,20.0,51.0,51.51,0.5,0.027,0.953,0.953,0.0,0.912,2.76,2.79,0.03,0.08,1107.0,0.039,0.038,0.0,131.0,132.42,-1.42,0.0,526.0,1038.0,0.2022,0.5297999999999999,0.528,0.0018,0.972,0.97,0.002,0.884,0.88,0.004,0.659,0.688,-0.028,9.0
Andrei Vasilevskiy,G,9500000,2018-19,0.0252,81500000,60200000,700000,TBL,53.0,129.0,145.29,16.3,0.307,0.957,0.952,0.005,0.925,2.43,2.73,0.31,2.71,3187.0,0.041,0.038,0.002,343.0,361.65,-18.65,-0.01,1585.0,2902.0,0.19469999999999998,0.5655,0.5225,0.043,0.975,0.97,0.005,0.892,0.88,0.012,0.698,0.68,0.018,3.0
David Rittich,G,2750000,2018-19,0.0252,81500000,60200000,700000,CGY,45.0,109.0,114.68,5.7,0.137,0.952,0.949,0.003,0.911,2.61,2.75,0.14,0.95,2503.0,0.046,0.039,0.008,286.0,278.27,7.73,0.01,1119.0,2155.0,0.1917,0.5424,0.5413,0.0011,0.967,0.971,-0.004,0.888,0.878,0.01,0.735,0.671,0.064,20.0
Jordan Binnington,G,4400000,2018-19,0.0252,81500000,60200000,700000,STL,32.0,59.0,65.57,6.6,0.213,0.961,0.957,0.004,0.925,1.9,2.12,0.21,1.09,1859.0,0.033,0.037,-0.004,183.0,186.81,-3.81,0.0,730.0,1450.0,0.2066,0.5229,0.5268,-0.0039000000000000003,0.979,0.972,0.007,0.883,0.879,0.004,0.696,0.701,-0.004,18.0
Malcolm Subban,G,850000,2018-19,0.0252,81500000,60200000,700000,VGK,21.0,60.0,50.59,-9.4,-0.46,0.941,0.951,-0.009,0.902,2.93,2.47,-0.46,-1.57,1226.0,0.046,0.041,0.005,120.0,130.38,-10.38,-0.02,552.0,964.0,0.17550000000000002,0.5977,0.5619,0.035699999999999996,0.961,0.97,-0.01,0.873,0.881,-0.008,0.63,0.682,-0.051,5.0
Anthony Stolarz,G,750000,2018-19,0.0252,81500000,60200000,700000,EDM,18.0,51.0,41.07,-9.9,-0.684,0.939,0.951,-0.012,0.899,3.52,2.84,-0.69,-1.66,868.0,0.05,0.04,0.01,99.0,103.92,-4.92,-0.01,452.0,784.0,0.187,0.6024,0.5522,0.050199999999999995,0.959,0.969,-0.01,0.837,0.884,-0.047,0.757,0.718,0.039,23.0
Cam Talbot,G,2750000,2018-19,0.0252,81500000,60200000,700000,PHI,35.0,109.0,89.07,-19.9,-0.627,0.941,0.951,-0.011,0.891,3.44,2.81,-0.63,-3.32,1903.0,0.049,0.038,0.012,252.0,229.98,22.02,0.02,889.0,1724.0,0.2006,0.5445,0.5368999999999999,0.0075,0.958,0.97,-0.012,0.858,0.877,-0.019,0.646,0.674,-0.029,13.0
Mike Smith,G,3750000,2018-19,0.0252,81500000,60200000,700000,CGY,42.0,109.0,106.8,-2.2,-0.055,0.945,0.946,-0.001,0.898,2.72,2.67,-0.05,-0.37,2400.0,0.047,0.04,0.007,229.0,242.29,-13.29,-0.01,958.0,1882.0,0.1981,0.5359,0.5408,-0.0049,0.961,0.972,-0.011,0.881,0.877,0.004,0.734,0.658,0.076,20.0
Curtis McElhinney,G,1300000,2018-19,0.0252,81500000,60200000,700000,CAR,33.0,85.0,94.56,9.6,0.291,0.953,0.947,0.005,0.912,2.58,2.87,0.29,1.59,1977.0,0.05,0.039,0.012,228.0,225.38,2.62,0.0,883.0,1713.0,0.19440000000000002,0.5384,0.5475,-0.0091,0.981,0.971,0.01,0.842,0.879,-0.037,0.773,0.669,0.104,21.0
Robin Lehner,G,5000000,2018-19,0.0252,81500000,60200000,700000,NYI,46.0,93.0,108.82,15.8,0.365,0.963,0.957,0.006,0.93,2.15,2.52,0.37,2.64,2594.0,0.038,0.037,0.001,307.0,286.55,20.45,0.02,1229.0,2409.0,0.2139,0.5284,0.5032,0.025099999999999997,0.974,0.97,0.003,0.896,0.883,0.013,0.756,0.682,0.074,22.0
Keith Kinkaid,G,1750000,2018-19,0.0252,81500000,60200000,700000,NJD,41.0,129.0,107.66,-21.3,-0.565,0.942,0.951,-0.01,0.891,3.42,2.86,-0.57,-3.56,2260.0,0.04,0.037,0.003,319.0,278.81,40.19,0.03,1058.0,2083.0,0.1909,0.5366,0.5468999999999999,-0.0102,0.959,0.971,-0.012,0.881,0.88,0.001,0.582,0.654,-0.071,15.0
Sergei Bobrovsky,G,10000000,2018-19,0.0252,81500000,60200000,700000,CBJ,62.0,153.0,159.67,6.7,0.114,0.952,0.95,0.002,0.913,2.6,2.71,0.11,1.11,3536.0,0.043,0.039,0.004,436.0,395.74,40.26,0.02,1603.0,3024.0,0.19219999999999998,0.5527000000000001,0.5446,0.008100000000000001,0.963,0.97,-0.007,0.885,0.88,0.005,0.786,0.666,0.12,14.0
Semyon Varlamov,G,5000000,2018-19,0.0252,81500000,60200000,700000,COL,49.0,137.0,132.24,-4.8,-0.102,0.951,0.952,-0.002,0.908,2.91,2.81,-0.1,-0.79,2820.0,0.052,0.038,0.014,287.0,328.98,-41.98,-0.03,1360.0,2634.0,0.2132,0.5402,0.5155,0.0248,0.97,0.973,-0.003,0.88,0.879,0.001,0.652,0.654,-0.002,17.0
Calvin Pickard,G,750000,2018-19,0.0252,81500000,60200000,700000,ARI,17.0,48.0,38.59,-9.4,-0.755,0.934,0.947,-0.013,0.875,3.86,3.1,-0.76,-1.57,746.0,0.044,0.04,0.005,92.0,85.79,6.21,0.02,337.0,678.0,0.2126,0.5303,0.5243,0.006,0.96,0.97,-0.01,0.822,0.871,-0.049,0.689,0.702,-0.013,29.0
Joonas Korpisalo,G,1150000,2018-19,0.0252,81500000,60200000,700000,CBJ,27.0,67.0,56.18,-10.8,-0.476,0.944,0.953,-0.009,0.897,2.96,2.48,-0.48,-1.8,1360.0,0.049,0.035,0.014,177.0,142.52,34.48,0.05,584.0,1138.0,0.2078,0.5402,0.5095000000000001,0.0308,0.966,0.97,-0.004,0.814,0.877,-0.063,0.736,0.697,0.038,14.0
Linus Ullmark,G,1325000,2018-19,0.0252,81500000,60200000,700000,BUF,37.0,109.0,93.97,-15.0,-0.429,0.944,0.951,-0.008,0.905,3.12,2.69,-0.43,-2.51,2097.0,0.036,0.04,-0.004,270.0,236.11,33.89,0.03,1037.0,1827.0,0.18420000000000003,0.5919,0.5513,0.0406,0.961,0.97,-0.009,0.864,0.878,-0.014,0.681,0.688,-0.007,31.0
Jack Campbell,G,1650000,2018-19,0.0252,81500000,60200000,700000,LAK,31.0,61.0,71.72,10.7,0.404,0.962,0.955,0.007,0.928,2.3,2.71,0.4,1.79,1589.0,0.041,0.038,0.003,248.0,202.31,45.69,0.05,784.0,1546.0,0.1957,0.5257999999999999,0.5371,-0.0113,0.983,0.971,0.012,0.88,0.882,-0.002,0.703,0.705,-0.002,12.0
Darcy Kuemper,G,4500000,2018-19,0.0252,81500000,60200000,700000,ARI,55.0,127.0,135.21,8.2,0.151,0.96,0.958,0.003,0.924,2.34,2.5,0.15,1.37,3251.0,0.039,0.036,0.003,378.0,378.65,-0.65,0.0,1549.0,3073.0,0.2126,0.5238,0.5163,0.0075,0.974,0.973,0.001,0.893,0.88,0.013,0.701,0.695,0.006,29.0
Pavel Francouz,G,2000000,2018-19,0.0252,81500000,60200000,700000,COL,2.0,2.0,2.57,0.6,0.588,0.966,0.956,0.01,0.938,1.96,2.52,0.56,0.09,61.0,0.07,0.037,0.034,7.0,6.78,0.22,0.01,30.0,57.0,0.2133,0.5424,0.5036999999999999,0.038599999999999995,0.967,0.97,-0.003,1.0,0.88,0.12,0.0,0.79,-0.79,17.0
Alex Lyon,G,700000,2018-19,0.0252,81500000,60200000,700000,PHI,2.0,6.0,2.53,-3.5,-2.965,0.889,0.953,-0.064,0.806,5.08,2.14,-2.94,-0.58,70.0,0.042,0.038,0.003,7.0,6.82,0.18,0.01,25.0,48.0,0.1818,0.5740999999999999,0.5598,0.0143,0.912,0.971,-0.06,0.8,0.868,-0.068,0.333,0.7,-0.367,13.0
Adin Hill,G,800000,2018-19,0.0252,81500000,60200000,700000,ARI,13.0,34.0,30.24,-3.8,-0.337,0.946,0.952,-0.006,0.895,3.02,2.68,-0.33,-0.63,676.0,0.05,0.038,0.012,65.0,76.84,-11.84,-0.04,289.0,597.0,0.2003,0.5119,0.5265,-0.0146,0.957,0.971,-0.013,0.883,0.881,0.002,0.714,0.689,0.026,29.0
Linus Ullmark,G,2600000,2019-20,0.0,81500000,60200000,700000,BUF,34.0,92.0,85.64,-6.4,-0.19,0.948,0.952,-0.004,0.914,2.72,2.54,-0.19,-1.06,2026.0,0.036,0.041,-0.005,255.0,224.28,30.72,0.03,972.0,1691.0,0.1707,0.5967,0.5587,0.0381,0.977,0.971,0.007,0.848,0.878,-0.03,0.583,0.672,-0.089,27.0
Alexandar Georgiev,G,2425000,2019-20,0.0,81500000,60200000,700000,NYR,34.0,96.0,95.92,-0.1,-0.003,0.951,0.951,-0.0,0.91,3.05,3.04,-0.0,-0.01,1891.0,0.046,0.04,0.005,239.0,245.33,-6.33,-0.01,966.0,1863.0,0.1948,0.5421,0.5412,0.0009,0.966,0.971,-0.005,0.867,0.877,-0.01,0.766,0.682,0.084,26.0
Jake Allen,G,2875000,2019-20,0.0,81500000,60200000,700000,STL,24.0,49.0,53.19,4.2,0.194,0.956,0.952,0.004,0.922,2.26,2.45,0.19,0.7,1301.0,0.043,0.04,0.003,154.0,138.35,15.65,0.02,582.0,1058.0,0.1943,0.57,0.545,0.025,0.963,0.972,-0.009,0.92,0.88,0.04,0.75,0.697,0.053,12.0
Aaron Dell,G,800000,2019-20,0.0,81500000,60200000,700000,SJS,33.0,92.0,90.41,-1.6,-0.052,0.947,0.948,-0.001,0.907,3.01,2.96,-0.05,-0.27,1834.0,0.05,0.041,0.008,182.0,220.22,-38.22,-0.04,893.0,1650.0,0.18899999999999997,0.5654,0.5513,0.0141,0.969,0.969,0.0,0.88,0.878,0.002,0.663,0.689,-0.026,6.0
Mike Smith,G,2000000,2019-20,0.0,81500000,60200000,700000,EDM,39.0,105.0,92.85,-12.2,-0.342,0.947,0.953,-0.006,0.902,2.95,2.61,-0.34,-2.03,2138.0,0.038,0.037,0.001,248.0,247.34,0.66,0.0,969.0,1891.0,0.2057,0.5381,0.5316,0.006500000000000001,0.972,0.972,-0.001,0.842,0.874,-0.033,0.644,0.677,-0.033,25.0
Thomas Greiss,G,3600000,2019-20,0.0,81500000,60200000,700000,NYI,31.0,73.0,63.53,-9.5,-0.362,0.954,0.96,-0.006,0.913,2.78,2.42,-0.36,-1.58,1575.0,0.034,0.036,-0.002,194.0,195.06,-1.06,0.0,765.0,1509.0,0.2141,0.5297,0.5156000000000001,0.0141,0.963,0.972,-0.01,0.891,0.88,0.012,0.642,0.694,-0.053,5.0
Braden Holtby,G,4300000,2019-20,0.0,81500000,60200000,700000,WSH,48.0,142.0,124.79,-17.2,-0.376,0.943,0.95,-0.007,0.897,3.1,2.73,-0.38,-2.87,2745.0,0.046,0.04,0.006,351.0,314.11,36.89,0.03,1239.0,2362.0,0.1959,0.5515,0.5421,0.009399999999999999,0.971,0.973,-0.001,0.839,0.879,-0.04,0.677,0.678,-0.001,4.0
Corey Crawford,G,3900000,2019-20,0.0,81500000,60200000,700000,CHI,40.0,109.0,112.02,3.0,0.077,0.951,0.949,0.001,0.916,2.79,2.87,0.08,0.5,2340.0,0.044,0.041,0.002,280.0,279.61,0.39,0.0,1187.0,2107.0,0.19269999999999998,0.5848,0.5503,0.0346,0.963,0.97,-0.007,0.884,0.877,0.007,0.777,0.683,0.094,20.0
Anton Forsberg,G,700000,2019-20,0.0,81500000,60200000,700000,CAR,3.0,8.0,5.75,-2.3,-0.964,0.938,0.956,-0.017,0.897,3.35,2.41,-0.94,-0.38,143.0,0.074,0.037,0.037,17.0,17.07,-0.07,0.0,70.0,122.0,0.1975,0.6,0.5406,0.0594,0.973,0.974,-0.001,0.842,0.876,-0.034,0.4,0.7,-0.3,11.0
Keith Kinkaid,G,825000,2019-20,0.0,81500000,60200000,700000,MTL,6.0,24.0,16.33,-7.7,-1.359,0.929,0.951,-0.023,0.875,4.24,2.88,-1.35,-1.28,339.0,0.045,0.04,0.005,41.0,45.02,-4.02,-0.02,168.0,312.0,0.1704,0.5714,0.5663,0.0051,0.95,0.971,-0.021,0.8,0.881,-0.081,0.75,0.673,0.077,14.0
Anton Khudobin,G,3333333,2019-20,0.0,81500000,60200000,700000,DAL,30.0,62.0,70.03,8.0,0.286,0.961,0.956,0.005,0.93,2.21,2.5,0.29,1.34,1681.0,0.036,0.038,-0.001,202.0,197.11,4.89,0.01,820.0,1515.0,0.1962,0.5593,0.5306000000000001,0.0287,0.976,0.973,0.004,0.892,0.875,0.016,0.695,0.675,0.02,15.0
Cam Talbot,G,3666666,2019-20,0.0,81500000,60200000,700000,CGY,26.0,64.0,58.8,-5.2,-0.222,0.953,0.957,-0.004,0.918,2.73,2.51,-0.22,-0.87,1405.0,0.041,0.039,0.002,190.0,182.19,7.81,0.01,716.0,1309.0,0.17190000000000003,0.5681,0.5619,0.0062,0.967,0.972,-0.005,0.904,0.885,0.02,0.548,0.652,-0.105,2.0
Matt Murray,G,6250000,2019-20,0.0,81500000,60200000,700000,PIT,38.0,107.0,86.45,-20.5,-0.549,0.944,0.954,-0.011,0.899,2.86,2.31,-0.55,-3.42,2241.0,0.039,0.038,0.0,243.0,236.65,6.35,0.01,948.0,1789.0,0.2027,0.5564,0.5364,0.02,0.96,0.971,-0.011,0.842,0.882,-0.039,0.728,0.714,0.014,9.0
Henrik Lundqvist,G,1500000,2019-20,0.0,81500000,60200000,700000,NYR,30.0,84.0,80.75,-3.3,-0.124,0.949,0.951,-0.002,0.905,3.15,3.03,-0.12,-0.54,1597.0,0.055,0.041,0.015,155.0,213.05,-58.05,-0.07,801.0,1551.0,0.1788,0.5413,0.5596,-0.0183,0.965,0.973,-0.008,0.906,0.879,0.028,0.636,0.659,-0.023,26.0
Malcolm Subban,G,850000,2019-20,0.0,81500000,60200000,700000,CHI,21.0,60.0,54.47,-5.5,-0.291,0.941,0.947,-0.005,0.89,3.17,2.88,-0.29,-0.92,1134.0,0.049,0.04,0.009,93.0,122.06,-29.06,-0.05,486.0,964.0,0.20989999999999998,0.5332,0.5268999999999999,0.0063,0.958,0.97,-0.012,0.857,0.871,-0.014,0.745,0.681,0.064,20.0
Robin Lehner,G,5000000,2019-20,0.0,81500000,60200000,700000,VGK,36.0,99.0,101.31,2.3,0.067,0.952,0.951,0.001,0.92,2.89,2.96,0.07,0.39,2055.0,0.046,0.039,0.006,259.0,253.11,5.89,0.0,1134.0,1974.0,0.2024,0.5948,0.5382,0.056600000000000004,0.974,0.972,0.003,0.878,0.879,-0.001,0.647,0.652,-0.005,16.0
Brian Elliott,G,1500000,2019-20,0.0,81500000,60200000,700000,PHI,31.0,80.0,73.42,-6.6,-0.234,0.943,0.948,-0.005,0.899,2.83,2.6,-0.23,-1.1,1693.0,0.055,0.04,0.015,208.0,177.02,30.98,0.04,716.0,1322.0,0.1924,0.5678,0.5533,0.014499999999999999,0.961,0.97,-0.009,0.861,0.878,-0.018,0.743,0.681,0.062,22.0
Tristan Jarry,G,3500000,2019-20,0.0,81500000,60200000,700000,PIT,33.0,79.0,78.66,-0.3,-0.009,0.954,0.955,-0.0,0.92,2.46,2.45,-0.01,-0.06,1926.0,0.038,0.038,0.0,225.0,220.84,4.16,0.0,907.0,1652.0,0.19039999999999999,0.5696,0.5390999999999999,0.0305,0.973,0.974,-0.001,0.859,0.88,-0.021,0.738,0.677,0.061,9.0
Laurent Brossoit,G,1500000,2019-20,0.0,81500000,60200000,700000,WPG,19.0,55.0,53.89,-1.1,-0.067,0.941,0.942,-0.001,0.893,3.34,3.27,-0.07,-0.18,988.0,0.049,0.041,0.008,106.0,115.76,-9.76,-0.02,457.0,876.0,0.1855,0.5499,0.5548,-0.0049,0.98,0.971,0.008,0.888,0.879,0.008,0.519,0.642,-0.123,10.0
Ryan Miller,G,1000000,2019-20,0.0,81500000,60200000,700000,ANA,23.0,63.0,57.84,-5.2,-0.258,0.947,0.951,-0.004,0.907,3.13,2.87,-0.26,-0.86,1207.0,0.05,0.041,0.009,161.0,154.7,6.3,0.01,616.0,1129.0,0.1808,0.5696,0.5494,0.0203,0.965,0.97,-0.005,0.883,0.879,0.005,0.627,0.671,-0.044,24.0
Mackenzie Blackwood,G,2800000,2019-20,0.0,81500000,60200000,700000,NJD,47.0,124.0,131.89,7.9,0.177,0.954,0.951,0.003,0.915,2.77,2.95,0.18,1.31,2683.0,0.037,0.037,0.0,353.0,325.22,27.78,0.02,1327.0,2545.0,0.203,0.5436,0.5393,0.0043,0.966,0.971,-0.005,0.907,0.881,0.026,0.694,0.662,0.032,29.0
Cory Schneider,G,700000,2019-20,0.0,81500000,60200000,700000,NJD,13.0,41.0,32.56,-8.4,-0.742,0.936,0.949,-0.013,0.885,3.62,2.88,-0.75,-1.41,679.0,0.053,0.039,0.014,84.0,79.5,4.5,0.01,314.0,601.0,0.1975,0.5529999999999999,0.5376,0.015300000000000001,0.96,0.969,-0.009,0.832,0.88,-0.049,0.655,0.673,-0.018,29.0
Craig Anderson,G,700000,2019-20,0.0,81500000,60200000,700000,OTT,34.0,100.0,93.34,-6.7,-0.22,0.947,0.95,-0.004,0.902,3.29,3.07,-0.22,-1.11,1825.0,0.044,0.039,0.004,207.0,227.33,-20.33,-0.02,918.0,1785.0,0.19920000000000002,0.5401,0.5318,0.008199999999999999,0.969,0.97,-0.002,0.879,0.881,-0.001,0.616,0.669,-0.052,31.0
Thatcher Demko,G,5000000,2019-20,0.0,81500000,60200000,700000,VAN,27.0,75.0,70.96,-4.0,-0.157,0.95,0.952,-0.003,0.907,2.94,2.78,-0.16,-0.67,1529.0,0.042,0.039,0.004,190.0,173.69,16.31,0.02,729.0,1415.0,0.2191,0.5396,0.5151,0.0245,0.971,0.97,0.001,0.869,0.879,-0.01,0.667,0.706,-0.039,23.0
Jordan Binnington,G,6000000,2019-20,0.0,81500000,60200000,700000,STL,51.0,126.0,126.35,0.3,0.006,0.95,0.95,0.0,0.912,2.58,2.59,0.01,0.06,2928.0,0.05,0.041,0.009,334.0,327.19,6.81,0.0,1307.0,2405.0,0.1825,0.5661999999999999,0.5593,0.0069,0.965,0.973,-0.008,0.897,0.878,0.019,0.715,0.675,0.041,12.0
Anton Forsberg,G,900000,2019-20,0.0,81500000,60200000,700000,CAR,3.0,8.0,5.75,-2.3,-0.964,0.938,0.956,-0.017,0.897,3.35,2.41,-0.94,-0.38,143.0,0.074,0.037,0.037,17.0,17.07,-0.07,0.0,70.0,122.0,0.1975,0.6,0.5406,0.0594,0.973,0.974,-0.001,0.842,0.876,-0.034,0.4,0.7,-0.3,11.0
Juuse Saros,G,5000000,2020-21,0.0,81500000,60200000,750000,NSH,36.0,78.0,91.15,13.2,0.386,0.958,0.951,0.007,0.927,2.28,2.67,0.38,2.19,2051.0,0.046,0.039,0.007,259.0,228.56,30.44,0.03,993.0,1771.0,0.19260000000000002,0.5792,0.5457,0.0335,0.978,0.97,0.007,0.886,0.877,0.009,0.675,0.638,0.037,20.0
Ilya Samsonov,G,2000000,2020-21,0.0,81500000,60200000,750000,WSH,19.0,49.0,43.44,-5.6,-0.307,0.946,0.952,-0.006,0.902,2.69,2.39,-0.31,-0.93,1092.0,0.048,0.04,0.008,106.0,116.77,-10.77,-0.02,450.0,860.0,0.19269999999999998,0.5489999999999999,0.5464,0.0026,0.968,0.97,-0.003,0.881,0.882,-0.0,0.591,0.686,-0.095,5.0
Carter Hart,G,3979000,2020-21,0.0,81500000,60200000,750000,PHI,27.0,89.0,70.75,-18.3,-0.754,0.93,0.944,-0.014,0.877,3.67,2.91,-0.75,-3.04,1456.0,0.048,0.041,0.006,168.0,158.77,9.23,0.01,632.0,1175.0,0.1913,0.5704,0.5599000000000001,0.0105,0.963,0.971,-0.009,0.854,0.876,-0.022,0.528,0.638,-0.11,6.0
Igor Shesterkin,G,5666666,2020-21,0.0,81500000,60200000,750000,NYR,35.0,83.0,85.99,3.0,0.095,0.954,0.952,0.002,0.916,2.62,2.72,0.09,0.5,1899.0,0.038,0.039,-0.002,213.0,222.32,-9.32,-0.01,905.0,1721.0,0.1972,0.5477000000000001,0.5376,0.01,0.971,0.972,-0.001,0.888,0.88,0.008,0.695,0.667,0.028,16.0
Adin Hill,G,2175000,2020-21,0.0,81500000,60200000,750000,ARI,19.0,46.0,46.03,0.0,0.0,0.95,0.95,0.0,0.913,2.74,2.75,0.0,0.01,1005.0,0.053,0.041,0.012,136.0,117.52,18.48,0.03,484.0,876.0,0.1753,0.5748,0.5585,0.0163,0.969,0.97,-0.0,0.862,0.878,-0.017,0.718,0.657,0.061,22.0
Brian Elliott,G,900000,2020-21,0.0,81500000,60200000,750000,PHI,30.0,82.0,62.68,-19.3,-0.72,0.937,0.952,-0.015,0.889,3.06,2.34,-0.72,-3.22,1607.0,0.045,0.04,0.005,183.0,164.58,18.42,0.02,656.0,1220.0,0.1863,0.5668,0.5548,0.012,0.959,0.973,-0.014,0.85,0.88,-0.029,0.617,0.674,-0.057,6.0
Joonas Korpisalo,G,1300000,2020-21,0.0,81500000,60200000,750000,CBJ,33.0,96.0,82.18,-13.8,-0.474,0.942,0.951,-0.008,0.894,3.3,2.82,-0.47,-2.3,1747.0,0.038,0.039,-0.002,206.0,202.88,3.12,0.0,808.0,1569.0,0.19949999999999998,0.5428999999999999,0.5366,0.0064,0.963,0.971,-0.008,0.869,0.881,-0.012,0.627,0.674,-0.047,13.0
Jake Allen,G,3850000,2021-22,0.0123,82500000,61000000,750000,MTL,35.0,107.0,104.85,-2.2,-0.068,0.947,0.948,-0.001,0.905,3.3,3.23,-0.07,-0.36,1947.0,0.049,0.041,0.008,251.0,254.85,-3.85,0.0,1016.0,1898.0,0.2006,0.5600999999999999,0.5466,0.013500000000000002,0.969,0.97,-0.002,0.871,0.876,-0.005,0.705,0.694,0.011,18.0
Stuart Skinner,G,2600000,2021-22,0.0123,82500000,61000000,750000,EDM,13.0,32.0,32.85,0.9,0.074,0.948,0.947,0.001,0.913,2.62,2.68,0.07,0.14,734.0,0.055,0.041,0.014,67.0,80.01,-13.01,-0.04,335.0,586.0,0.1868,0.5939,0.5594,0.0345,0.967,0.97,-0.003,0.931,0.878,0.054,0.611,0.712,-0.101,11.0
