team,season,final_standing
VAN,2010-11,1
WSH,2010-11,2
PIT,2010-11,3
PHI,2010-11,4
SJS,2010-11,5
DET,2010-11,6
BOS,2010-11,7
TBL,2010-11,8
ANA,2010-11,9
NSH,2010-11,10
ARI,2010-11,11
LAK,2010-11,12
CHI,2010-11,13
MTL,2010-11,14
BUF,2010-11,15
DAL,2010-11,16
CGY,2010-11,17
NYR,2010-11,18
CAR,2010-11,19
STL,2010-11,20
MIN,2010-11,21
TOR,2010-11,22
NJD,2010-11,23
CBJ,2010-11,24
ATL,2010-11,25
OTT,2010-11,26
NYI,2010-11,27
FLA,2010-11,28
COL,2010-11,29
EDM,2010-11,30
VAN,2011-12,1
NYR,2011-12,2
STL,2011-12,3
PIT,2011-12,4
NSH,2011-12,5
PHI,2011-12,6
BOS,2011-12,7
DET,2011-12,8
NJD,2011-12,9
CHI,2011-12,10
ARI,2011-12,11
SJS,2011-12,12
LAK,2011-12,13
FLA,2011-12,14
WSH,2011-12,15
OTT,2011-12,16
CGY,2011-12,17
DAL,2011-12,18
BUF,2011-12,19
COL,2011-12,20
TBL,2011-12,21
WPG,2011-12,22
CAR,2011-12,23
MIN,2011-12,24
TOR,2011-12,25
ANA,2011-12,26
NYI,2011-12,27
MTL,2011-12,28
EDM,2011-12,29
CBJ,2011-12,30
CHI,2012-13,1
PIT,2012-13,2
ANA,2012-13,3
MTL,2012-13,4
BOS,2012-13,5
STL,2012-13,6
LAK,2012-13,7
VAN,2012-13,8
WSH,2012-13,9
TOR,2012-13,10
SJS,2012-13,11
NYR,2012-13,12
OTT,2012-13,13
DET,2012-13,14
MIN,2012-13,15
NYI,2012-13,16
CBJ,2012-13,17
WPG,2012-13,18
ARI,2012-13,19
PHI,2012-13,20
DAL,2012-13,21
BUF,2012-13,22
NJD,2012-13,23
EDM,2012-13,24
CGY,2012-13,25
CAR,2012-13,26
NSH,2012-13,27
TBL,2012-13,28
COL,2012-13,29
FLA,2012-13,30
BOS,2013-14,1
ANA,2013-14,2
COL,2013-14,3
STL,2013-14,4
SJS,2013-14,5
PIT,2013-14,6
CHI,2013-14,7
TBL,2013-14,8
LAK,2013-14,9
MTL,2013-14,10
MIN,2013-14,11
NYR,2013-14,12
PHI,2013-14,13
CBJ,2013-14,14
DET,2013-14,15
DAL,2013-14,16
WSH,2013-14,17
ARI,2013-14,18
NSH,2013-14,19
OTT,2013-14,20
NJD,2013-14,21
TOR,2013-14,22
WPG,2013-14,23
CAR,2013-14,24
VAN,2013-14,25
NYI,2013-14,26
CGY,2013-14,27
EDM,2013-14,28
FLA,2013-14,29
BUF,2013-14,30
NYR,2014-15,1
MTL,2014-15,2
ANA,2014-15,3
STL,2014-15,4
TBL,2014-15,5
NSH,2014-15,6
CHI,2014-15,7
VAN,2014-15,8
NYI,2014-15,9
WSH,2014-15,10
MIN,2014-15,11
DET,2014-15,12
OTT,2014-15,13
WPG,2014-15,14
PIT,2014-15,15
CGY,2014-15,16
BOS,2014-15,17
LAK,2014-15,18
DAL,2014-15,19
FLA,2014-15,20
COL,2014-15,21
CBJ,2014-15,22
SJS,2014-15,23
PHI,2014-15,24
NJD,2014-15,25
CAR,2014-15,26
TOR,2014-15,27
EDM,2014-15,28
ARI,2014-15,29
BUF,2014-15,30
NYR,2015-16,1
MTL,2015-16,2
ANA,2015-16,3
STL,2015-16,4
TBL,2015-16,5
NSH,2015-16,6
CHI,2015-16,7
VAN,2015-16,8
NYI,2015-16,9
WSH,2015-16,10
MIN,2015-16,11
DET,2015-16,12
OTT,2015-16,13
WPG,2015-16,14
PIT,2015-16,15
CGY,2015-16,16
BOS,2015-16,17
LAK,2015-16,18
DAL,2015-16,19
FLA,2015-16,20
COL,2015-16,21
CBJ,2015-16,22
SJS,2015-16,23
PHI,2015-16,24
NJD,2015-16,25
CAR,2015-16,26
TOR,2015-16,27
EDM,2015-16,28
ARI,2015-16,29
BUF,2015-16,30
WSH,2016-17,1
DAL,2016-17,2
STL,2016-17,3
PIT,2016-17,4
CHI,2016-17,5
FLA,2016-17,6
ANA,2016-17,7
LAK,2016-17,8
NYR,2016-17,9
NYI,2016-17,10
SJS,2016-17,11
TBL,2016-17,12
NSH,2016-17,13
PHI,2016-17,14
BOS,2016-17,15
DET,2016-17,16
MIN,2016-17,17
CAR,2016-17,18
OTT,2016-17,19
NJD,2016-17,20
COL,2016-17,21
MTL,2016-17,22
BUF,2016-17,23
ARI,2016-17,24
WPG,2016-17,25
CGY,2016-17,26
CBJ,2016-17,27
VAN,2016-17,28
EDM,2016-17,29
TOR,2016-17,30
WSH,2017-18,1
PIT,2017-18,2
CHI,2017-18,3
CBJ,2017-18,4
MIN,2017-18,5
ANA,2017-18,6
EDM,2017-18,7
MTL,2017-18,8
NYR,2017-18,9
SJS,2017-18,10
STL,2017-18,11
OTT,2017-18,12
BOS,2017-18,13
TOR,2017-18,14
CGY,2017-18,15
TBL,2017-18,16
NSH,2017-18,17
NYI,2017-18,18
PHI,2017-18,19
WPG,2017-18,20
CAR,2017-18,21
LAK,2017-18,22
FLA,2017-18,23
DAL,2017-18,24
DET,2017-18,25
BUF,2017-18,26
ARI,2017-18,27
NJD,2017-18,28
VAN,2017-18,29
COL,2017-18,30
NSH,2018-19,1
WPG,2018-19,2
TBL,2018-19,3
BOS,2018-19,4
VGK,2018-19,5
TOR,2018-19,6
WSH,2018-19,7
MIN,2018-19,8
ANA,2018-19,9
PIT,2018-19,10
SJS,2018-19,11
LAK,2018-19,12
PHI,2018-19,13
CBJ,2018-19,14
NJD,2018-19,15
FLA,2018-19,16
COL,2018-19,17
STL,2018-19,18
DAL,2018-19,19
CGY,2018-19,20
CAR,2018-19,21
NYI,2018-19,22
EDM,2018-19,23
NYR,2018-19,24
CHI,2018-19,25
VAN,2018-19,26
DET,2018-19,27
MTL,2018-19,28
ARI,2018-19,29
OTT,2018-19,30
BUF,2018-19,31
TBL,2019-20,1
CGY,2019-20,2
BOS,2019-20,3
WSH,2019-20,4
NYI,2019-20,5
SJS,2019-20,6
NSH,2019-20,7
TOR,2019-20,8
PIT,2019-20,9
WPG,2019-20,10
CAR,2019-20,11
STL,2019-20,12
CBJ,2019-20,13
MTL,2019-20,14
DAL,2019-20,15
VGK,2019-20,16
COL,2019-20,17
ARI,2019-20,18
FLA,2019-20,19
CHI,2019-20,20
MIN,2019-20,21
PHI,2019-20,22
VAN,2019-20,23
ANA,2019-20,24
EDM,2019-20,25
NYR,2019-20,26
BUF,2019-20,27
DET,2019-20,28
NJD,2019-20,29
LAK,2019-20,30
OTT,2019-20,31
BOS,2020-21,1
STL,2020-21,2
TBL,2020-21,3
COL,2020-21,4
WSH,2020-21,5
PHI,2020-21,6
PIT,2020-21,7
VGK,2020-21,8
EDM,2020-21,9
DAL,2020-21,10
CAR,2020-21,11
TOR,2020-21,12
CBJ,2020-21,13
WPG,2020-21,14
NYI,2020-21,15
NYR,2020-21,16
CGY,2020-21,17
VAN,2020-21,18
FLA,2020-21,19
NSH,2020-21,20
MIN,2020-21,21
ARI,2020-21,22
CHI,2020-21,23
MTL,2020-21,24
BUF,2020-21,25
NJD,2020-21,26
ANA,2020-21,27
LAK,2020-21,28
SJS,2020-21,29
OTT,2020-21,30
DET,2020-21,31
VGK,2021-22,1
COL,2021-22,2
CAR,2021-22,3
FLA,2021-22,4
PIT,2021-22,5
WSH,2021-22,6
TOR,2021-22,7
TBL,2021-22,8
MIN,2021-22,9
BOS,2021-22,10
EDM,2021-22,11
NYI,2021-22,12
NSH,2021-22,13
WPG,2021-22,14
STL,2021-22,15
NYR,2021-22,16
DAL,2021-22,17
MTL,2021-22,18
PHI,2021-22,19
CGY,2021-22,20
CHI,2021-22,21
ARI,2021-22,22
OTT,2021-22,23
VAN,2021-22,24
LAK,2021-22,25
SJS,2021-22,26
DET,2021-22,27
CBJ,2021-22,28
NJD,2021-22,29
ANA,2021-22,30
BUF,2021-22,31
FLA,2022-23,1
COL,2022-23,2
CAR,2022-23,3
TOR,2022-23,4
MIN,2022-23,5
CGY,2022-23,6
NYR,2022-23,7
TBL,2022-23,8
STL,2022-23,9
BOS,2022-23,10
EDM,2022-23,11
PIT,2022-23,12
WSH,2022-23,13
LAK,2022-23,14
DAL,2022-23,15
NSH,2022-23,16
VGK,2022-23,17
VAN,2022-23,18
WPG,2022-23,19
NYI,2022-23,20
CBJ,2022-23,21
SJS,2022-23,22
ANA,2022-23,23
BUF,2022-23,24
DET,2022-23,25
OTT,2022-23,26
CHI,2022-23,27
NJD,2022-23,28
PHI,2022-23,29
SEA,2022-23,30
ARI,2022-23,31
MTL,2022-23,32
